hit_id	worker_id	worktime_s	item_id	wav	transcription
3Z56AA6EK4Y9J6O5O1SUD8ROW8CM6C	f657620fa4b94be89dfc300b94203233	66	band_aid_4_4	band_aid_4_4_1	it is a blue and white box containing Band-Aids
3Z56AA6EK4Y9J6O5O1SUD8ROW8CM6C	610b33fd69314b84bd4eedab82c3f69e	33	band_aid_4_4	band_aid_4_4_2	it is a box of Band-Aids from the company Band-Aid
3PGQRAZX02IE0LBGEHJ888ANN7NYS0	610b33fd69314b84bd4eedab82c3f69e	37	soda_bottle_5_2	soda_bottle_5_2_1	a bottle of coke it seemed The Diet Coke a small plastic bottle
3PGQRAZX02IE0LBGEHJ888ANN7NYS0	3c05e83ec8704dd8a72f3110365bf32e	21	soda_bottle_5_2	soda_bottle_5_2_2	a Coca-Cola bottle which is full
3ZZAYRN1I6P3L7KTXUF0GM87BG2TO9	f657620fa4b94be89dfc300b94203233	23	food_can_3_1	food_can_3_1_1	there is a can of chickpeas
3ZZAYRN1I6P3L7KTXUF0GM87BG2TO9	3c05e83ec8704dd8a72f3110365bf32e	48	food_can_3_1	food_can_3_1_2	again used for containing food
3J9L0X0VDFKS61KHQA1T6GKHKBYW9O	f657620fa4b94be89dfc300b94203233	31	syringe_1_4	syringe_1_4_1	it looks like it is a pain but it cold
3J9L0X0VDFKS61KHQA1T6GKHKBYW9O	610b33fd69314b84bd4eedab82c3f69e	41	syringe_1_4	syringe_1_4_2	it's a small syringe on the table you stupid medicine to kids I think
3MD8CKRQZZLC4HG4DSI08BQ3O1VJR3	3c05e83ec8704dd8a72f3110365bf32e	413	flashlight_3_3	flashlight_3_3_1	a handy flashlight
3MD8CKRQZZLC4HG4DSI08BQ3O1VJR3	f657620fa4b94be89dfc300b94203233	28	flashlight_3_3	flashlight_3_3_2	it has a pocket flashlight in their square shape
338431Z1FLDQ5S71T5A5G77PNV5ORR	f657620fa4b94be89dfc300b94203233	12	sponge_1_3	sponge_1_3_1	there is a gray sponge
338431Z1FLDQ5S71T5A5G77PNV5ORR	e57cccaac5004cf49d8b40d452647a7e	43	sponge_1_3	sponge_1_3_2	the object on the white Train table seems to be a piece of wood with the top part painted brown it's about schlong by half an inch wide
3Q9SPIIRWJK6BKUMIGFT2BV1QTGWA3	3c05e83ec8704dd8a72f3110365bf32e	389	scissors_4_2	scissors_4_2_1	scissors with grey and orange handle
3Q9SPIIRWJK6BKUMIGFT2BV1QTGWA3	89c74ff6a3214275945a7e132642ea20	46	scissors_4_2	scissors_4_2_2	this is a pair of scissors with a gray and orange plastic handle
3I7SHAD35MUSN62A7BXMJMRKRJWM7B	f657620fa4b94be89dfc300b94203233	11	banana_1_4	banana_1_4_1	there is a banana
3I7SHAD35MUSN62A7BXMJMRKRJWM7B	3c05e83ec8704dd8a72f3110365bf32e	22	banana_1_4	banana_1_4_2	diese ripe banana
3KTZHH2ONIDWNK7THGPSXMNF232M8Y	f657620fa4b94be89dfc300b94203233	15	band_aid_5_3	band_aid_5_3_1	there is a blue and white Band-Aid box
3KTZHH2ONIDWNK7THGPSXMNF232M8Y	3c05e83ec8704dd8a72f3110365bf32e	61	band_aid_5_3	band_aid_5_3_2	a box holding bandages
3R5LWXWHR06MABCFEL3P0GKBXQZGXS	f657620fa4b94be89dfc300b94203233	13	stapler_1_1	stapler_1_1_1	there is a pink stapler
3R5LWXWHR06MABCFEL3P0GKBXQZGXS	89c74ff6a3214275945a7e132642ea20	23	stapler_1_1	stapler_1_1_2	this is a hot stapler
334ZEL5JX6D2677E8UAA6HCL9XOOSF	f657620fa4b94be89dfc300b94203233	20	toothbrush_1_3	toothbrush_1_3_1	there is a yellow and white toothbrush
334ZEL5JX6D2677E8UAA6HCL9XOOSF	3c05e83ec8704dd8a72f3110365bf32e	72	toothbrush_1_3	toothbrush_1_3_2	toothbrush with a yellow handle
3QGHA0EA0JYBUUZEOUFPXMF78B1WBY	3c05e83ec8704dd8a72f3110365bf32e	28	measuring_tape_2_3	measuring_tape_2_3_1	a measuring meter used by construction workers
3QGHA0EA0JYBUUZEOUFPXMF78B1WBY	f657620fa4b94be89dfc300b94203233	40	measuring_tape_2_3	measuring_tape_2_3_2	there is a measuring tape
360ZO6N6J1HW1PQ3M8V6XIIQM9KM9N	3c05e83ec8704dd8a72f3110365bf32e	401	hammer_6_2	hammer_6_2_1	a hammer with a wooden handle
360ZO6N6J1HW1PQ3M8V6XIIQM9KM9N	f657620fa4b94be89dfc300b94203233	31	hammer_6_2	hammer_6_2_2	there is a hammer with a wooden handle
3CO05SML7V352BFIRK8UQ6B7PSPR04	3c05e83ec8704dd8a72f3110365bf32e	136	potato_1_4	potato_1_4_1	a potato which is not filled
3CO05SML7V352BFIRK8UQ6B7PSPR04	610b33fd69314b84bd4eedab82c3f69e	42	potato_1_4	potato_1_4_2	simple tattoo on the White turntable
3D06DR5225HA6808EE96TDTASR2MA2	3c05e83ec8704dd8a72f3110365bf32e	510	apple_3_3	apple_3_3_1	a bright red fruit
3D06DR5225HA6808EE96TDTASR2MA2	610b33fd69314b84bd4eedab82c3f69e	20	apple_3_3	apple_3_3_2	it's alright apple on the table
3LB1BGHFL2UFFLOV3HOYID69PQ1YTP	3c05e83ec8704dd8a72f3110365bf32e	14	flashlight_1_4	flashlight_1_4_1	silver flashlight
3LB1BGHFL2UFFLOV3HOYID69PQ1YTP	f657620fa4b94be89dfc300b94203233	12	flashlight_1_4	flashlight_1_4_2	there is a small metallic Flash
3BAKUKE49HA59000N3CU4BUHUKVR17	3c05e83ec8704dd8a72f3110365bf32e	111	book_5_1	book_5_1_1	a book with the hardcover
3BAKUKE49HA59000N3CU4BUHUKVR17	ac874c0428284b4f896618fc6ae93573	792	book_5_1	book_5_1_2	this is a book on top of an electronic cell phone charger for some reason
3GMLHYZ0LEVUFY3K3ME8N9SB848YUG	f657620fa4b94be89dfc300b94203233	35	pill_cutter_1_3	pill_cutter_1_3_1	there is a small plastic transparent case with but it's not clear what is it
3GMLHYZ0LEVUFY3K3ME8N9SB848YUG	3c05e83ec8704dd8a72f3110365bf32e	20	pill_cutter_1_3	pill_cutter_1_3_2	plastic transparent case
3XU9MCX6VOACYLIW67C89U4MMQ9R2O	610b33fd69314b84bd4eedab82c3f69e	16	pliers_3_4	pliers_3_4_1	there's a wire cutter on the table the Wild Kratts
3XU9MCX6VOACYLIW67C89U4MMQ9R2O	3c05e83ec8704dd8a72f3110365bf32e	177	pliers_3_4	pliers_3_4_2	Liars with red and blue handle
3ZZAYRN1I6P3L7KTXUF0GM87BG2OT4	f657620fa4b94be89dfc300b94203233	13	hammer_6_3	hammer_6_3_1	there is a hammer with a wooden handle
3R5OYNIC2C7L67WUCUSF5MDXLLYTPQ	3c05e83ec8704dd8a72f3110365bf32e	19	eye_glasses_2_3	eye_glasses_2_3_1	a pair of Optical Eyeglasses
3R5OYNIC2C7L67WUCUSF5MDXLLYTPQ	610b33fd69314b84bd4eedab82c3f69e	31	eye_glasses_2_3	eye_glasses_2_3_2	it's a pair of glasses on the table
3UAU495MIIQILKZIXZ5ALIU9UU9OUV	3c05e83ec8704dd8a72f3110365bf32e	495	plate_5_1	plate_5_1_1	a decorated white plate
3UAU495MIIQILKZIXZ5ALIU9UU9OUV	f657620fa4b94be89dfc300b94203233	25	plate_5_1	plate_5_1_2	there is a square white plate with a light design in it
3HJ1EVZS2OH1J3EFA7QDS49ES49R3Z	f657620fa4b94be89dfc300b94203233	16	lime_3_2	lime_3_2_1	there is a green line
3HJ1EVZS2OH1J3EFA7QDS49ES49R3Z	3c05e83ec8704dd8a72f3110365bf32e	32	lime_3_2	lime_3_2_2	he's a green lime
36BTXXLZ2V6M1ZXJALVW291K645R4K	f657620fa4b94be89dfc300b94203233	16	lightbulb_5_1	lightbulb_5_1_1	there is a small spot light
36BTXXLZ2V6M1ZXJALVW291K645R4K	034df28f14f74af2a7dbdacc17b9a9d5	632	lightbulb_5_1	lightbulb_5_1_2	there is what looks like a small outlet plug but I'm not exactly sure maybe a little flashlight connected to it
3M93N4X8HKLO5WGHSHI5YLVZA3EJSR	3c05e83ec8704dd8a72f3110365bf32e	99	toothpaste_1_1	toothpaste_1_1_1	a box with yellow tent used for holding the toothpaste
3M93N4X8HKLO5WGHSHI5YLVZA3EJSR	f657620fa4b94be89dfc300b94203233	28	toothpaste_1_1	toothpaste_1_1_2	there is a yellow toothpaste box
3VDVA3ILIDDEKARM7SII57GASBL1GM	3c05e83ec8704dd8a72f3110365bf32e	14	onion_4_3	onion_4_3_1	a white onion
3VDVA3ILIDDEKARM7SII57GASBL1GM	610b33fd69314b84bd4eedab82c3f69e	12	onion_4_3	onion_4_3_2	what's a white onion you can see
3X52SWXE0X3U4ZRK2UBK86LPQW1WC5	f657620fa4b94be89dfc300b94203233	16	band_aid_4_2	band_aid_4_2_1	there is a blue and white Benz date box
3X52SWXE0X3U4ZRK2UBK86LPQW1WC5	3c05e83ec8704dd8a72f3110365bf32e	363	band_aid_4_2	band_aid_4_2_2	a box of Band-Aids with the Turkish color
302OLP89DZ5XXMOH1PFSQHOYYDACAM	47317d553db3431e9fe128afa5b849d9	17	toothpaste_3_2	toothpaste_3_2_1	I'm looking at a blue bottle of toothpaste
302OLP89DZ5XXMOH1PFSQHOYYDACAM	cd85b00cc9cb4618ad00bac7d459f9e3	8	toothpaste_3_2	toothpaste_3_2_2	it's a blue tube of toothpaste
302OLP89DZ5XXMOH1PFSQHOYYDACAM	776646d756a04492a7e7fdb3c813f918	31	toothpaste_3_2	toothpaste_3_2_3	a tube of Crest toothpaste
302OLP89DZ5XXMOH1PFSQHOYYDACAM	204bcfb7d5ce4406bcc2eb918a07fbd2	359	toothpaste_3_2	toothpaste_3_2_4	it is a model which always meant
302OLP89DZ5XXMOH1PFSQHOYYDACAM	3375299d28ab42378e622ad3e878024c	17	toothpaste_3_2	toothpaste_3_2_5	the two-faced appears to be used
302U8RURJZZ0GEO61AF22FWNIRPNVG	107d1f48cc874db3be5c2b109b8e7f74	12	syringe_4_1	syringe_4_1_1	plastic syringe
302U8RURJZZ0GEO61AF22FWNIRPNVG	b15611f064144daeb3cb1a3ceb868adf	16	syringe_4_1	syringe_4_1_2	it says City inch
302U8RURJZZ0GEO61AF22FWNIRPNVG	3d10f55326ce454199f1d1a2ea4e8453	15	syringe_4_1	syringe_4_1_3	this looks to be a clear syringe
302U8RURJZZ0GEO61AF22FWNIRPNVG	47317d553db3431e9fe128afa5b849d9	90	syringe_4_1	syringe_4_1_4	the object short and thin and I assume it's a syringe looks like it has a black area where the tip would be but I'm facing it at an angle from the back and I can't even see if there is that tube that would indicate it actually is a syringe
302U8RURJZZ0GEO61AF22FWNIRPNVG	776646d756a04492a7e7fdb3c813f918	13	syringe_4_1	syringe_4_1_5	a syringe
304QEQWKZPI25YN2ZSRQWB62E5HO04	47823a67c3b04caaa3730345c80b02f9	92	pliers_4_2	pliers_4_2_1	it's a pliers
304QEQWKZPI25YN2ZSRQWB62E5HO04	107d1f48cc874db3be5c2b109b8e7f74	12	pliers_4_2	pliers_4_2_2	black handles cutters
304QEQWKZPI25YN2ZSRQWB62E5HO04	f510b8bd8b824efa8706a59d484c13fd	777	pliers_4_2	pliers_4_2_3	those look like the pliers used to cut and strip wires
304QEQWKZPI25YN2ZSRQWB62E5HO04	3375299d28ab42378e622ad3e878024c	87	pliers_4_2	pliers_4_2_4	it is a tool with a black and red handle
304QEQWKZPI25YN2ZSRQWB62E5HO04	2fa8c4a0b8d945a1a32ca683a30f8430	12	pliers_4_2	pliers_4_2_5	these are pliers
307L9TDWJYQG45MNH09WJK44R7WN3J	f510b8bd8b824efa8706a59d484c13fd	341	gauze_2_2	gauze_2_2_1	that is a blue box of gauze pads
307L9TDWJYQG45MNH09WJK44R7WN3J	3375299d28ab42378e622ad3e878024c	65	gauze_2_2	gauze_2_2_2	it is a box of gauze pads
307L9TDWJYQG45MNH09WJK44R7WN3J	776646d756a04492a7e7fdb3c813f918	22	gauze_2_2	gauze_2_2_3	a blue box with 10 cost pets
307L9TDWJYQG45MNH09WJK44R7WN3J	47317d553db3431e9fe128afa5b849d9	34	gauze_2_2	gauze_2_2_4	all pictures of blue box to medium-sized and holding some kind of product I'm assuming a paper good for office or medical purposes
307L9TDWJYQG45MNH09WJK44R7WN3J	107d1f48cc874db3be5c2b109b8e7f74	10	gauze_2_2	gauze_2_2_5	a blue box of gauze pads
3087LXLJ6ME8ZLA90P809HXOM4QF09	107d1f48cc874db3be5c2b109b8e7f74	8	band_aid_4_1	band_aid_4_1_1	the Box Band-Aid laying down
